ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
33,Pagodroma nivea,Snow Petrel|Snow Petrel,Pagodroma nivea|Pagodroma|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
34,Apodiformes,Swifts,Apodiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
35,Gelochelidon,,Gelochelidon|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
36,Phalacrocorax carunculatus,,Phalacrocorax carunculatus|Phalacrocorax|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
37,Limnodromus semipalmatus,Asiatic Dowitcher|Asiatic Dowitcher|Asiatic Dowitcher|Asiatic Dowitcher,Limnodromus semipalmatus|Limnodromus|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
38,Xenicus,,Xenicus|Acanthisittidae|Acanthisittides|Oligomyodi|Passeriformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|infraorder|suborder|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
39,Fregetta grallaria,White-bellied Storm Petrel|White-bellied Storm Petrel|White-bellied Storm Petrel,Fregetta grallaria|Fregetta|Oceanitinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
40,Columbae,Pigeons and Doves|Pigeons and Doves,Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
41,Anous,,Anous|Megalopterinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
42,Haematopus finschi,Finsch's Oystercatcher|Finsch's Oystercatcher|New Zealand Pied Oystercatcher|Torea,Haematopus finschi|Haematopus|Haematopodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
