ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
600,Gallirallus dieffenbachii,Dieffenbach's rail|Dieffenbach's rail|Dieffenbach's rail,Gallirallus dieffenbachii|Gallirallus|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Extinct||Chatham Islands|Political Region|Terrestrial
601,Columba livia domestica,,Columba livia domestica|Columba livia|Columba|Columbinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present||New Zealand|Political Region|
602,Numenius phaeopus hudsonicus,Hudsonian Curlew|American Whimbrel|American Whimbrel|American Whimbrel|Hudsonian Curlew,Numenius phaeopus hudsonicus|Numenius phaeopus|Numenius|Tringinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
603,Catharacta skua,Great Skua|Subantarctic skua|Great Skua,Catharacta skua|Catharacta|Stercorariidae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Absent||New Zealand|Political Region|
604,Pelecanoides urinatrix chathamensis,Kuaka|Southern Diving Petrel,Pelecanoides urinatrix chathamensis|Pelecanoides urinatrix|Pelecanoides|Pelecanoididae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
605,Phoebetria palpebrata,Toroa|Toroa Pango|light-mantled albatross|Light-mantled Sooty Albatross|lightmantled sooty albat|Light-mantled Sooty Albatross|Light-mantled Sooty Albatross,Phoebetria palpebrata|Phoebetria|Diomedeidae|Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
606,Diaphorapteryx,,Diaphorapteryx|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
607,Pterodroma externa,Juan Fernandez Petrel|Juan Ferandez Petrel,Pterodroma externa|Hallstroma|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
608,Leucocarbo carunculatus,New Zealand King Shag|King Shag,Leucocarbo carunculatus|Leucocarbo|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
609,Rallinae,"Rails, Gallinules, Coots and Allies|Rails, Gallinules, Coots and Allies",Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
610,Malacorhynchus,,Malacorhynchus|Malacorhynchini|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|tribe|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
611,Pelecanidae,Pelicans|Pelicans,Pelecanidae|Pelecanoidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
612,Coenocorypha huegeli,Snares Island snipe|Snares Island snipe|Tutukiwi|Snares Island snipe,Coenocorypha huegeli|Coenocorypha|Gallinagininae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
613,Coenocorypha aucklandica iredalei,Stewart Island Snipe|Tutukiwi|Tutukiwi|Stewart Island Snipe,Coenocorypha aucklandica iredalei|Coenocorypha aucklandica|Coenocorypha|Gallinagininae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
614,Petroica multicolor multicolor,,Petroica multicolor multicolor|Petroica multicolor|Petroica|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|subgenus|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Absent||New Zealand|Political Region|
615,Anous minutus,Black noddy|Black noddy,Anous minutus|Anous|Megalopterinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|New Zealand|Political Region|
616,Gallinula,,Gallinula|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
617,Calidris ferruginea,Curlew Sandpiper|Curlew Sandpiper|Curlew Sandpiper|Curlew Sandpiper,Calidris ferruginea|Calidris|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
618,Cuculus saturatus,Oriental Cuckoo|Oriental Cuckoo|Oriental Cuckoo,Cuculus saturatus|Cuculus|Cuculinae|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
619,Catharacta skua lonnbergi,Hakoakoa|Brown (Subantarctic) Skua|Hakoakoa|Brown (Subantarctic) Skua,Catharacta skua lonnbergi|Catharacta skua|Catharacta|Stercorariidae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
620,Gallirallus philippensis assimilis,buff-banded rail|konini|kata tei|Moho-pereru|Mioweka|Banded Rail,Gallirallus philippensis assimilis|Gallirallus philippensis|Gallirallus|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
621,Anomalopteryginae,,Anomalopteryginae|Emeidae|Dinornithiformes|Ratitae|Palaeognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subinfraclass|subclass|class|superclass|subphylum|phylum|kingdom|none,
622,Calidris acuminata,Sharp-tailed Sandpiper|Sharp-tailed Sandpiper|Sharp-tailed Sandpiper|Sharp-tailed Sandpiper,Calidris acuminata|Calidris|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
623,Platalea,,Platalea|Plataleinae|Threskiornithidae|Threskiornithes|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
624,Phalaropodinae,,Phalaropodinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
625,Himantopus himantopus,Pied Stilt|Australasian pied stilt|Pied Stilt,Himantopus himantopus|Himantopus|Recurvirostrinae|Recurvirostridae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
626,Diomedea melanophrys,Black-browed Mollymawk|Black-browed Mollymawk,Diomedea melanophrys|Diomedea|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
627,Puffinus gavia,Fluttering Shearwater|Fluttering Shearwater|Pakaha,Puffinus gavia|Puffinus|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
628,Hydrobatinae,Northern Storm Petrels|Northern Storm Petrels,Hydrobatinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
629,Eurystomus orientalis pacificus,Dollarbird|Dollarbird|Eastern broad-billed Roller|Dollarbird,Eurystomus orientalis pacificus|Eurystomus orientalis|Eurystomus|Coraciidae|Coracii|Coraciiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
630,Limosa lapponica,Bar-tailed godwit|Bar-tailed godwit|Bar-tailed godwit,Limosa lapponica|Limosa|Tringinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
631,Fregatidae,Frigatebirds|Frigate birds,Fregatidae|Fregatae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
632,Aegothelidae,Nightjars|Owlet-nightjars|Owlet-nightjars,Aegothelidae|Aegothelae|Apodiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
633,Neognathae,,Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subclass|class|superclass|subphylum|phylum|kingdom|none,
634,Petroica multicolor,,Petroica multicolor|Petroica|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
635,Puffinus pacificus,Wedge-tailed Shearwater|Wedge-tailed Shearwater,Puffinus pacificus|Thyellodroma|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Kermadec Islands|Political Region|Terrestrial
636,Corvus antipodum antipodum,North Island raven,Corvus antipodum antipodum|Corvidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
637,Anatinae,Ducks|Ducks,Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
638,Eudyptes pachyrhynchus,Pokotiwha|Fiordland Crested Penguin|Fiordland Crested Penguin|Pokotiwha,Eudyptes pachyrhynchus|Eudyptes|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
639,Tereingaornis moisleyi,,Tereingaornis moisleyi|Tereingaornis|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
640,Mergus millineri,Chatham Island merganser,Mergus millineri|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
641,Branta,,Branta|Anserini|Anserinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
642,Pachyptila,,Pachyptila|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
643,Hirundapus caudacutus caudacutus,White-throated needletail|Spine-tailed swift,Hirundapus caudacutus caudacutus|Hirundapus caudacutus|Hirundapus|Chaeturini|Apodinae|Apodidae|Apodi|Apodiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present||New Zealand|Political Region|
644,Phoebastria immutabilis,Laysan albatross|Laysan albatross,Phoebastria immutabilis|Phoebastria|Diomedeidae|Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
645,Recurvirostra,,Recurvirostra|Recurvirostrinae|Recurvirostridae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
646,Apodini,,Apodini|Apodinae|Apodidae|Apodi|Apodiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
647,Sturninae,Starlings|Starlings,Sturninae|Sturnidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
648,Rhipidurinae,Fantails,Rhipidurinae|Monarchidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
649,Diomedea antipodensis antipodensis,Toroa|Antipodean wandering albatross|Wandering Albatross,Diomedea antipodensis antipodensis|Diomedea antipodensis|Diomedea|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
650,Sterna albostriata,Tarapiroe|Black-fronted tern|Tarapiroe|Black-fronted tern|Black-fronted tern,Sterna albostriata|Sterna|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
651,Mergus australis,Auckland Island Merganser|New Zealand merganser|New Zealand merganser|Auckland Island Merganser|New Zealand merganser,Mergus australis|Mergus|Merginae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
652,Phasianinae,"Partridges, Quails, Pheasants|Partridges, Quails, Pheasants",Phasianinae|Phasianidae|Galliformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
653,Pterodroma nigripennis,Black-winged Petrel|Black-winged Petrel,Pterodroma nigripennis|Oestrelatella|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
654,Petroica macrocephala marrineri,Auckland Island tomtit|Auckland Island tomtit|Auckland Island tomtit,Petroica macrocephala marrineri|Petroica macrocephala|Petroica|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|subgenus|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
655,Malacorhynchus membranaceus,Pink-eared duck|Pink-eared duck|Pink-eared duck|Pink-eared duck,Malacorhynchus membranaceus|Malacorhynchus|Malacorhynchini|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|tribe|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
656,Palaeocorax,,Palaeocorax|Corvidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
657,Dinornis struthoides,,Dinornis struthoides|Dinornis|Dinornithidae|Dinornithiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,
658,Prunella,,Prunella|Prunellidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
659,Cygnus sumnerensis,,Cygnus sumnerensis|Cygnus|Cygnini|Anserinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
660,Pelecanoides urinatrix,Common diving Petrel|Kuaka|Diving Petrel,Pelecanoides urinatrix|Pelecanoides|Procellariinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Chatham Islands|Political Region|Terrestrial
661,Ardeinae,"Herons, Egrets|Herons, Egrets",Ardeinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
662,Sterna vittata bethunei,New Zealand Antarctic Tern|New Zealand Antarctic Tern,Sterna vittata bethunei|Sterna vittata|Sterna|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
663,Dacelo novaeguineae novaeguineae,Kookaburra,Dacelo novaeguineae novaeguineae|Dacelo novaeguineae|Dacelo|Daceloninae|Alcedinidae|Alcedines|Coraciiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
664,Haematopodidae,Oystercatchers|Oystercatchers,Haematopodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
665,Oceanitinae,,Oceanitinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
666,Diomedea epomophora,Southern Royal Albatross|Royal Albatross|Toroa,Diomedea epomophora|Diomedea|Diomedeidae|Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
667,Pachyptila vittata,Broad-billed prion,Pachyptila vittata|Pachyptila|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Chatham Islands|Political Region|Terrestrial
668,Branta canadensis maxima,Canada goose|Canada goose,Branta canadensis maxima|Branta canadensis|Branta|Anserini|Anserinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
669,Rallus pectoralis,Lewin's Rail|Lewin's Rail,Rallus pectoralis|Rallus|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
670,Passer,,Passer|Passerinae|Ploceidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
671,Numida meleagris,Tufted guineafowl|Helmeted guineafowl|Tufted guineafowl|Helmeted guineafowl|Tufted guineafowl,Numida meleagris|Numida|Numidinae|Phasianidae|Galliformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
672,Sceloglaux albifacies albifacies,South Island Laughing Owl|Whekau|Whekau|South Island Laughing Owl,Sceloglaux albifacies albifacies|Sceloglaux albifacies|Sceloglaux|Buboninae|Strigidae|Strigiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
673,Gallus gallus gallus,Feral chicken|Indochina red junglefowl,Gallus gallus gallus|Gallus gallus|Gallus|Phasianinae|Phasianidae|Galliformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present||New Zealand|Political Region|
674,Anarhynchus,,Anarhynchus|Charadriinae|Charadriidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
675,Fringilla coelebs gengleri,,Fringilla coelebs gengleri|Fringilla coelebs|Fringilla|Fringillinae|Fringillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
676,Calidris mauri,Western Sandpiper|Western Sandpiper|Western Sandpiper|Western Sandpiper,Calidris mauri|Calidris|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
677,Haematopus unicolor,Torea Pango|Black Oystercatcher|Torea Tai|Variable Oystercatcher|Toreapango|Variable Oystercatcher|Torea|Variable Oystercatcher,Haematopus unicolor|Haematopus|Haematopodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
678,Myiagra,,Myiagra|Monarchinae|Monarchidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
679,Hirundapus caudacutus,Spine-tailed Swift|Spine-tailed Swift,Hirundapus caudacutus|Hirundapus|Chaeturinae|Apodidae|Apodi|Apodiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
680,Cygnus atratus,Black Swan|Kakianau|Black Swan|Black Swan,Cygnus atratus|Cygnus|Anserinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
681,Procellaria westlandica,Westland Petrel|Taiko|Westland Petrel|Westland Petrel,Procellaria westlandica|Procellaria|Procellariinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
682,Anas superciliosa,Grey duck|black duck|Pacific black duck|parea|Grey duck|Grey duck,Anas superciliosa|Anas|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Chatham Islands|Political Region|Terrestrial
683,Pelecanus conspicillatus,Australian Pelican|Australian Pelican|Australian Pelican,Pelecanus conspicillatus|Pelecanus|Pelecanidae|Pelecanoidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
